item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,chance_start,severity_start,question_end,if_phrase,x_label,graph_cat,chance_cat,severity_cat,condition,img,point1,point2,point3
1,Airplane Luggage,E,28,You are packing an item in your luggage for an airplane journey.,The graph below shows the chance,of damage to the item for three randomly selected airlines.,What is the chance,What is the severity of consequences if,your item is damaged?,If you fly with one of these airlines...,Airline,The graph below shows the chance of damage to the item for three randomly selected airlines.,What is the chance your item is damaged?,What is the severity of consequences if your item is damaged?,lo,graphs/E1_lo.png,27.836981754742308,28.27623092770957,27.662528078022085
11,Recovering From Injury,E,29,You are starting to exercise again after recovering from injury.,The graph below shows the chance,of your injury re-occuring for three randomly selected types of exercise.,What is the chance,What is the severity of consequences if,your injury re-occurs?,If you take up one of these types of exercise...,Exercise,The graph below shows the chance of your injury re-occuring for three randomly selected types of exercise.,What is the chance your injury re-occurs?,What is the severity of consequences if your injury re-occurs?,hi,graphs/E11_hi.png,29.11761035580685,28.834632064186653,28.84418808801062
2,Flooding,E,30,You are going on a vacation to a remote island.,The graph below shows the chance,of flooding at three randomly selected resorts on the island.,What is the chance,What is the severity of consequences if,your resort is flooded?,If you take a vacation at one of these resorts...,Resort,The graph below shows the chance of flooding at three randomly selected resorts on the island.,What is the chance your resort is flooded?,What is the severity of consequences if your resort is flooded?,lo,graphs/E2_lo.png,30.090261450909836,30.392367020051132,29.32341771310641
32,Cosmetic Surgery,E,31,You are undergoing voluntary surgery for a cosmetic issue.,The graph below shows the chance,of complications for three randomly selected clinics.,What is the chance,What is the severity of consequences if,you experience complications?,If you go to one of these clinics...,Clinic,The graph below shows the chance of complications for three randomly selected clinics.,What is the chance you experience complications?,What is the severity of consequences if you experience complications?,hi,graphs/E32_hi.png,31.237055698252636,30.722527617413558,30.995021353423482
8,Investment,E,33,You are investing a month's wages to buy shares in a company.,The graph below shows the chance,of making a loss on your investment after one year for three randomly selected companies.,What is the chance,What is the severity of consequences if,you make a loss on your investment?,If you invest in one of these companies...,Company,The graph below shows the chance of making a loss on your investment after one year for three randomly selected companies.,What is the chance you make a loss on your investment?,What is the severity of consequences if you make a loss on your investment?,lo,graphs/E8_lo.png,32.9435539392225,32.80909031361815,32.95415412030926
31,Sprinkler System,E,35,You are selecting a sprinkler system for your house in case of a fire.,The graph below shows the chance,of the sprinkler system not working effectively for three randomly selected sprinkler systems.,What is the chance,What is the severity of consequences if,the sprinkler system does not work effectively?,If you chose one of these sprinkler systems...,System,The graph below shows the chance of the sprinkler system not working effectively for three randomly selected sprinkler systems.,What is the chance the sprinkler system does not work effectively?,What is the severity of consequences if the sprinkler system does not work effectively?,hi,graphs/E31_hi.png,34.59057670053257,34.72807619065183,35.5104452437217
4,Traffic Jams,E,36,You are driving to a wedding next month.,The graph below shows the chance,of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance,What is the severity of consequences if,you get caught in traffic?,If you travel on one these routes...,Route,The graph below shows the chance of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance you get caught in traffic?,What is the severity of consequences if you get caught in traffic?,lo,graphs/E4_lo.png,35.826708022161036,36.313817959201415,36.321891571633294
7,Flight Delays,E,37,You are booking a flight.,The graph below shows the chance,of delays for three randomly selected airlines going to your destination.,What is the chance,What is the severity of consequences if,your flight is delayed?,If you fly with one of these airlines...,Airline,The graph below shows the chance of delays for three randomly selected airlines going to your destination.,What is the chance your flight is delayed?,What is the severity of consequences if your flight is delayed?,hi,graphs/E7_hi.png,37.00825749483437,37.005544558750934,36.51012990589
35,Pain Relief,E,37,You need to take strong pain relief medication.,The graph below shows the chance,of developing an addiction for three randomly selected pain relief medicines.,What is the chance,What is the severity of consequences if,you develop an addiction?,If you take one of these pain-relief medicines...,Medication,The graph below shows the chance of developing an addiction for three randomly selected pain relief medicines.,What is the chance you develop an addiction?,What is the severity of consequences if you develop an addiction?,lo,graphs/E35_lo.png,36.777464604991856,36.76701737835545,36.94776846585834
3,Train Delays,E,39,You are catching a train to an important job interview.,The graph below shows the chance,of significant delays for three randomly selected rail routes to your destination.,What is the chance,What is the severity of consequences if,your train is delayed?,If you travel on one of these rail routes...,Route,The graph below shows the chance of significant delays for three randomly selected rail routes to your destination.,What is the chance your train is delayed?,What is the severity of consequences if your train is delayed?,hi,graphs/E3_hi.png,38.60701341180087,39.027369452229834,38.41371983133943
